0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
479	0.601652	55.8178	47	1.18761	-0.0296572	0.0254583	-1	-1	3
481	0.601652	27.8077	47	0.591653	-0.0662418	0.0243239	-1	-1	3
528	0.601652	34.6502	47	0.737238	-0.0339369	0.0254053	-1	-1	3
531	0.601652	38.7264	47	0.823965	0.0613927	0.0284624	-1	-1	3
538	0.601652	68.0177	47	1.44719	-0.00547325	0.0262889	-1	-1	3
543	0.601652	54.9975	47	1.17016	-0.0123842	0.0260679	-1	-1	3
552	0.601652	56.3303	47	1.19852	-0.0229663	0.0257171	-1	-1	3
556	0.601652	66.2635	47	1.40986	-0.0274217	0.0255364	-1	-1	3
558	0.601652	38.2379	47	0.813573	-0.110661	0.0230179	-1	-1	3
580	0.601652	60.64	47	1.29021	-0.0171988	0.0259925	-1	-1	3
583	0.601652	61.2791	47	1.30381	0.0131729	0.0270089	-1	-1	3
596	0.601652	42.5102	47	0.904473	-0.0694222	0.0243317	-1	-1	3
609	0.601652	38.1147	47	0.810951	-0.00980334	0.0261591	-1	-1	3
641	0.601652	32.8577	47	0.6991	0.0240672	0.0272293	-1	-1	3
651	0.601652	57.3208	47	1.21959	0.0398923	0.0277829	-1	-1	3
668	0.601652	49.9261	47	1.06226	-0.022925	0.0257057	-1	-1	3
681	0.601652	48.2883	47	1.02741	0.0249996	0.0272439	-1	-1	3
686	0.601652	46.7964	47	0.995668	-0.00410629	0.0262597	-1	-1	3
727	0.601652	37.7587	47	0.803376	0.00100707	0.0264446	-1	-1	3
728	0.601652	54.5521	47	1.16068	-0.0267768	0.025548	-1	-1	3
735	0.601652	42.6191	47	0.90679	-0.0437232	0.0249911	-1	-1	3
736	0.601652	60.2589	47	1.28211	-0.0497276	0.0248767	-1	-1	3
738	0.601652	43.9573	47	0.935262	-0.0380079	0.0252676	-1	-1	3
747	0.601652	32.306	47	0.687362	-0.0174008	0.0258684	-1	-1	3
750	0.601652	41.8634	47	0.890711	-0.0213418	0.0257041	-1	-1	3
757	0.601652	62.5571	47	1.331	-0.0444832	0.024885	-1	-1	3
764	0.601652	66.43	47	1.4134	-0.0217153	0.0257043	-1	-1	3
787	0.601652	29.2755	47	0.622883	-0.00998978	0.0261024	-1	-1	3
797	0.601652	49.3932	47	1.05092	0.0231348	0.0272097	-1	-1	3
800	0.601652	56.3223	47	1.19835	-0.0182416	0.0259257	-1	-1	3
803	0.601652	52.6369	47	1.11994	0.0117068	0.0268604	-1	-1	3
810	0.601652	39.2448	47	0.834996	-0.0511027	0.0247377	-1	-1	3
811	0.601652	58.6602	47	1.24809	-0.0375618	0.0252568	-1	-1	3
812	0.601652	43.5438	47	0.926463	-0.0383806	0.0251892	-1	-1	3
823	0.601652	54.9937	47	1.17008	-0.0855629	0.0237167	-1	-1	3
848	0.601652	40.4527	47	0.860697	0.0222452	0.0271366	-1	-1	3
856	0.601652	55.2731	47	1.17602	0.0162003	0.0269305	-1	-1	3
862	0.601652	57.6677	47	1.22697	0.0201744	0.0270704	-1	-1	3
873	0.601652	50.332	47	1.07089	-0.022028	0.0257788	-1	-1	3
878	0.601652	53.4894	47	1.13807	-0.0309246	0.0254228	-1	-1	3
880	0.601652	49.2954	47	1.04884	-0.0059074	0.0262576	-1	-1	3
886	0.601652	65.8277	47	1.40059	-0.0250448	0.0256456	-1	-1	3
890	0.601652	42.8537	47	0.911781	0.00622549	0.0265308	-1	-1	3
900	0.601652	63.8331	47	1.35815	-0.040867	0.0251023	-1	-1	3
901	0.601652	71.1393	47	1.5136	-0.0322389	0.025353	-1	-1	3
906	0.601652	45.7137	47	0.972633	0.0960684	0.0297045	-1	-1	3
917	0.601652	47.8937	47	1.01901	0.0422734	0.0277951	-1	-1	3
921	0.601652	46.6672	47	0.992919	0.0466214	0.0279612	-1	-1	3
931	0.601652	30.7842	47	0.654982	0.0107727	0.0267373	-1	-1	3
940	0.601652	53.6851	47	1.14224	0.0162918	0.026918	-1	-1	3
968	0.601652	43.2116	47	0.919397	0.0113498	0.0267929	-1	-1	3
969	0.601652	42.4982	47	0.904217	0.0502406	0.028187	-1	-1	3
978	0.601652	68.3589	47	1.45444	-0.0282396	0.0255515	-1	-1	3
993	0.601652	42.2096	47	0.898076	0.00412787	0.0265371	-1	-1	3
994	0.601652	54.021	47	1.14938	-0.0471388	0.0248686	-1	-1	3
996	0.601652	36.2065	47	0.770351	0.00451206	0.0265256	-1	-1	3
998	0.601652	51.4823	47	1.09537	-0.00353647	0.0263549	-1	-1	3
1003	0.601652	30.3741	47	0.646258	0.0167796	0.0269379	-1	-1	3
1007	0.601652	42.4888	47	0.904016	-0.0128075	0.0259392	-1	-1	3
1009	0.601652	79.6563	47	1.69482	-0.0113499	0.0260553	-1	-1	3
1010	0.601652	45.7457	47	0.973313	-0.0276742	0.0254984	-1	-1	3
1017	0.601652	47.9702	47	1.02064	-0.0333961	0.0253795	-1	-1	3
1055	0.601652	51.6865	47	1.09971	-0.0108247	0.0260854	-1	-1	3
